Time Step,True pos_x,Predicted pos_x,Error
364,1.66,1.6594139,0.00058603287
365,1.66,1.6593978,0.0006021261
366,1.65,1.6593958,-0.009395838
367,1.65,1.6494493,0.0005506277
368,1.65,1.6495111,0.0004888773
369,1.65,1.6493274,0.0006725788
370,1.65,1.6494604,0.00053954124
371,1.65,1.6496977,0.00030231476
372,1.65,1.6492428,0.0007572174
373,1.65,1.65171,-0.0017100573
374,1.65,1.6489135,0.0010864735
375,1.64,1.6495599,-0.00955987
376,1.65,1.6402618,0.009738207
377,1.65,1.6508837,-0.00088369846
378,1.65,1.6502293,-0.00022935867
379,1.65,1.6488798,0.0011202097
380,1.65,1.6480856,0.001914382
381,1.65,1.6479547,0.0020452738
382,1.65,1.6472536,0.0027463436
383,1.64,1.6468987,-0.006898761
384,1.64,1.6362265,0.0037734509
385,1.64,1.6360008,0.0039992332
386,1.64,1.6351545,0.0048455
387,1.63,1.6345834,-0.0045833588
388,1.63,1.624398,0.005602002
389,1.62,1.6239305,-0.0039304495
390,1.62,1.6135676,0.006432414
391,1.61,1.6125902,-0.0025901794
392,1.6,1.602039,-0.0020389557
393,1.6,1.591479,0.00852108
394,1.59,1.5909688,-0.0009688139
395,1.58,1.5805463,-0.00054621696
396,1.57,1.570295,-0.00029492378
397,1.56,1.5593724,0.0006275177
398,1.56,1.548722,0.011277914
399,1.55,1.5481772,0.00182271
400,1.54,1.53762,0.0023800135
401,1.53,1.5275253,0.0024746656
402,1.52,1.5169768,0.0030231476
403,1.51,1.5063319,0.0036680698
404,1.49,1.4954864,-0.005486369
405,1.47,1.4746478,-0.004647732
406,1.46,1.4538498,0.0061502457
407,1.44,1.4433277,-0.003327608
408,1.43,1.4229481,0.0070518255
409,1.41,1.4126351,-0.0026351213
410,1.4,1.3922985,0.007701516
411,1.39,1.3819308,0.008069158
412,1.37,1.3716012,-0.0016012192
413,1.34,1.3509231,-0.010923028
414,1.32,1.3211647,-0.0011646748
415,1.31,1.300689,0.009310961
416,1.29,1.2901037,-0.00010371208
417,1.28,1.2704769,0.009523034
418,1.26,1.2611291,-0.0011291504
419,1.25,1.2420722,0.007927775
420,1.24,1.2327136,0.0072864294
421,1.22,1.2229235,-0.0029234886
422,1.2,1.2029665,-0.002966404
423,1.18,1.1828188,-0.0028188229
424,1.17,1.1628782,0.0071218014
425,1.16,1.1529125,0.007087469
426,1.14,1.1432991,-0.003299117
427,1.13,1.1229247,0.0070753098
428,1.11,1.1129409,-0.0029408932
429,1.1,1.0932586,0.0067414045
430,1.08,1.0839725,-0.003972411
431,1.06,1.0639335,-0.003933549
432,1.04,1.0438242,-0.003824234
433,1.03,1.0234053,0.006594658
434,1.01,1.0130075,-0.0030075312
435,1.0,0.99274343,0.0072565675
436,0.99,0.98254865,0.0074513555
437,0.97,0.9723487,-0.0023486614
438,0.96,0.95221573,0.0077842474
439,0.94,0.94203097,-0.0020309687
440,0.92,0.9218135,-0.0018134713
441,0.9,0.90199924,-0.001999259
442,0.89,0.88112944,0.008870542
443,0.87,0.8713499,-0.0013498664
444,0.85,0.8505881,-0.0005880594
445,0.84,0.829685,0.010315001
446,0.82,0.81861144,0.0013885498
447,0.81,0.7977375,0.012262523
448,0.78,0.78722817,-0.0072281957
449,0.74,0.7567902,-0.016790211
450,0.72,0.7160293,0.003970742
451,0.7,0.69498324,0.005016744
452,0.68,0.6739397,0.0060603023
453,0.66,0.65319836,0.006801665
454,0.63,0.6329981,-0.0029981136
455,0.61,0.60301816,0.0069818497
456,0.58,0.5830273,-0.00302732
457,0.54,0.5528663,-0.012866259
458,0.52,0.5127024,0.0072975755
459,0.49,0.49274564,-0.0027456284
460,0.47,0.4629953,0.007004708
461,0.44,0.44346365,-0.0034636557
462,0.42,0.41405612,0.0059438646
463,0.39,0.39467943,-0.0046794415
464,0.35,0.36507085,-0.015070856
465,0.32,0.32511365,-0.0051136613
466,0.29,0.2954059,-0.005405903
467,0.27,0.26604003,0.0039599836
468,0.24,0.24684477,-0.006844774
469,0.22,0.21301192,0.0069880784
470,0.19,0.18969886,0.00030113757
471,0.17,0.15807742,0.011922583
472,0.12,0.1383778,-0.018377803
473,0.09,0.093074724,-0.0030747205
474,0.06,0.069471784,-0.009471785
475,0.04,0.041577715,-0.0015777163
476,0.02,0.021345032,-0.0013450328
477,0.0,-0.00015537627,0.00015537627
478,-0.01,-0.021476911,0.011476912
479,-0.03,-0.031757914,0.0017579142
480,-0.06,-0.05143202,-0.008567978
481,-0.08,-0.08012961,0.0001296103
482,-0.1,-0.09920488,-0.0007951185
483,-0.11,-0.11868481,0.008684814
484,-0.13,-0.1285807,-0.0014192909
485,-0.14,-0.14888711,0.008887112
486,-0.16,-0.15921888,-0.00078111887
487,-0.18,-0.17933281,-0.0006671995
488,-0.19,-0.19921225,0.0092122555
489,-0.22,-0.2090004,-0.010999605
490,-0.23,-0.23889399,0.008893982
491,-0.24,-0.2487712,0.008771211
492,-0.26,-0.2587546,-0.0012453794
493,-0.27,-0.27878797,0.00878796
494,-0.28,-0.28861257,0.008612573
495,-0.29,-0.29790023,0.007900238
496,-0.31,-0.30579668,-0.0042033195
497,-0.32,-0.3230396,0.0030395985
498,-0.34,-0.33190525,-0.008094758
499,-0.37,-0.3516048,-0.018395215
500,-0.4,-0.3830088,-0.016991198
501,-0.41,-0.41520572,0.0052057207
502,-0.42,-0.42604956,0.0060495734
503,-0.45,-0.4348384,-0.015161574
504,-0.46,-0.46370104,0.0037010312
505,-0.47,-0.473538,0.0035380125
506,-0.49,-0.48343533,-0.0065646768
507,-0.5,-0.50344884,0.003448844
508,-0.51,-0.51401037,0.0040103793
509,-0.53,-0.52495396,-0.00504601
510,-0.54,-0.54685324,0.006853223
511,-0.55,-0.5589819,0.0089818835
512,-0.57,-0.5690316,-0.00096839666
